detector (E),detector (H)
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0.00000000e+00 0.00000000e+00 4.56447945e-05],[ 2.83830811e-05 -3.49440716e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 2.14283138e-05],[ 1.38079596e-05 -1.60331963e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 8.10797738e-06],[ 5.42609105e-06 -5.90649119e-06  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 2.02303047e-06],[ 1.39361753e-06 -1.43885467e-06  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 2.20472302e-07],[ 1.54338485e-07 -1.54338485e-07  0.00000000e+00]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
