detector0 (E),detector0 (H),detector1 (E),detector1 (H),detector2 (E),detector2 (H),detector3 (E),detector3 (H),detector4 (E),detector4 (H),detector5 (E),detector5 (H),detector6 (E),detector6 (H),detector7 (E),detector7 (H),detector8 (E),detector8 (H)
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[-7.34687091e-18  0.00000000e+00  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.04949944e-17]],[[ 7.34687091e-18 -7.34687091e-18  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0.0000000e+00 0.0000000e+00 1.0286144e-16]],[[ 6.08044735e-18 -7.20066818e-17  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 8.36805358e-17]],[[-6.08044735e-18 -6.22017509e-17  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0.00000000e+00 0.00000000e+00 8.24246816e-16]],[[-1.42394246e-15 -6.11896832e-16  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.86703247e-15]],[[ 1.42394246e-15 -2.03938193e-15  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0.00000000e+00 0.00000000e+00 2.13009695e-14]],[[-1.50745826e-15 -1.52244737e-14  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.14202716e-14]],[[ 1.50745826e-15 -1.59821494e-14  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0.00000000e+00 0.00000000e+00 1.55777078e-13]],[[-1.00749102e-13 -1.16328725e-13  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.97543622e-13]],[[ 1.00749102e-13 -2.16359507e-13  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[-7.53871169e-14  0.00000000e+00  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.77673821e-12]],[[-2.49535796e-13 -1.30157994e-12  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.98927978e-12]],[[ 2.49535796e-13 -1.49602291e-12  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.07690387e-13]],[[ 7.53871169e-14 -7.53871169e-14  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0.00000000e+00 0.00000000e+00 4.28786102e-13]],[[-3.91313390e-13 -3.00165585e-13  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.13712534e-11]],[[-3.77609087e-12 -8.57665571e-12  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.64089323e-11]],[[ 3.77609087e-12 -1.22209843e-11  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 8.80086324e-13]],[[ 3.91313390e-13 -6.50076825e-13  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0.0000000e+00 0.0000000e+00 3.5212669e-12]],[[-6.08303902e-12 -2.59779290e-12  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 8.12899337e-11]],[[-1.32843933e-11 -6.10517235e-11  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 9.48725299e-11]],[[ 1.32843933e-11 -7.21940100e-11  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.16518887e-11]],[[ 6.08303902e-12 -8.46681330e-12  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0.00000000e+00 0.00000000e+00 4.17143432e-11]],[[-3.12377376e-11 -3.04180637e-11  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 4.42837965e-10]],[[-8.99123199e-11 -3.38611535e-10  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 5.52300847e-10]],[[ 8.99123199e-11 -4.21121829e-10  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 7.76477936e-11]],[[ 3.12377376e-11 -5.81974463e-11  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0.00000000e+00 0.00000000e+00 2.71072742e-10]],[[-2.20426960e-10 -2.03369197e-10  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.31154498e-09]],[[-3.65501412e-10 -1.77763565e-09  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.70522359e-09]],[[ 3.65501412e-10 -2.09031182e-09  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 5.41329272e-10]],[[ 2.20426960e-10 -4.06016583e-10  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[-3.02331064e-11  0.00000000e+00  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.73826625e-09]],[[-1.04094319e-09 -1.30982233e-09  0.00000000e+00]],[[0.0000000e+00 0.0000000e+00 1.0565648e-08]],[[-1.50886453e-09 -8.21771103e-09  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.21989405e-08]],[[ 1.50886453e-09 -9.51305945e-09  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.91037249e-09]],[[ 1.04094319e-09 -2.22104821e-09  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 4.31879486e-11]],[[ 3.02331064e-11 -3.02331064e-11  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0.00000000e+00 0.00000000e+00 1.13961369e-10]],[[-2.03548777e-10 -7.97770281e-11  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 8.94647982e-09]],[[-4.75514183e-09 -6.84773644e-09  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 4.35988686e-08]],[[-6.09052245e-09 -3.42945424e-08  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 5.01437603e-08]],[[ 6.09052245e-09 -3.94676443e-08  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.42522072e-08]],[[ 4.75514183e-09 -1.09856140e-08  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.61542553e-10]],[[ 2.03548777e-10 -2.65444747e-10  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0.0000000e+00 0.0000000e+00 9.5854912e-10]],[[-1.66984604e-09 -7.02938300e-10  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 4.09367504e-08]],[[-1.94647695e-08 -3.17166058e-08  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.66394395e-07]],[[-1.86761883e-08 -1.32037148e-07  0.00000000e+00]],[[0.00000e+00 0.00000e+00 1.84373e-07]],[[ 1.86761883e-08 -1.46986098e-07  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 6.19494322e-08]],[[ 1.94647695e-08 -4.82806043e-08  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.05315263e-09]],[[ 1.66984604e-09 -2.25235990e-09  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0.00000000e+00 0.00000000e+00 7.57787816e-09]],[[-8.82319151e-09 -5.60328237e-09  0.00000000e+00]],[[0.0000000e+00 0.0000000e+00 1.6856354e-07]],[[-6.73949176e-08 -1.31993759e-07  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 5.65913946e-07]],[[-6.65794159e-08 -4.55274212e-07  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 6.34343637e-07]],[[ 6.65794159e-08 -5.10079379e-07  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.37031687e-07]],[[ 6.73949176e-08 -1.87342442e-07  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.77964218e-08]],[[ 8.82319151e-09 -1.34072891e-08  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[0. 0. 0.]],[[0.00000000e+00 0.00000000e+00 4.28993137e-08]],[[-4.05094975e-08 -3.23547191e-08  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 6.07070986e-07]],[[-2.29885653e-07 -4.82590517e-07  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.80282364e-06]],[[-1.70835735e-07 -1.46379077e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.95175364e-06]],[[ 1.70835735e-07 -1.59188106e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 8.39188765e-07]],[[ 2.29885653e-07 -6.69721713e-07  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 8.81631558e-08]],[[ 4.05094975e-08 -6.74239194e-08  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0. 0. 0.]],[[-2.22431686e-09  0.00000000e+00  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.01817989e-07]],[[-1.65749599e-07 -1.54797030e-07  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.02357243e-06]],[[-6.51582480e-07 -1.62531437e-06  0.00000000e+00]],[[0.0000000e+00 0.0000000e+00 5.1490355e-06]],[[-4.98225979e-07 -4.24240274e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 5.61671199e-06]],[[ 4.98225979e-07 -4.62838108e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.62596573e-06]],[[ 6.51582480e-07 -2.12800919e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.80723292e-07]],[[ 1.65749599e-07 -2.94916271e-07  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.17743341e-09]],[[ 2.22431686e-09 -2.22431686e-09  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0.00000000e+00 0.00000000e+00 6.48792184e-09]],[[-1.67457715e-08 -4.54177699e-09  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 8.33834849e-07]],[[-5.58504193e-07 -6.47861919e-07  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 5.96640377e-06]],[[-1.81136537e-06 -4.86859973e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.36784167e-05]],[[-1.12838384e-06 -1.14026337e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.45785962e-05]],[[ 1.12838384e-06 -1.21942557e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 7.62315194e-06]],[[ 1.81136537e-06 -6.24793553e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.39488422e-06]],[[ 5.58504193e-07 -1.09959622e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.72317987e-08]],[[ 1.67457715e-08 -1.98780315e-08  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0.00000000e+00 0.00000000e+00 5.58621483e-08]],[[-9.91839603e-08 -4.07308442e-08  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.91142162e-06]],[[-1.77523392e-06 -2.30382521e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.62226935e-05]],[[-4.32311657e-06 -1.34070258e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.28504992e-05]],[[-2.58434257e-06 -2.78151372e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.49303342e-05]],[[ 2.58434257e-06 -2.96202670e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.98107264e-05]],[[ 4.32311657e-06 -1.64967607e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 4.64951826e-06]],[[ 1.77523392e-06 -3.71069451e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.73624981e-07]],[[ 9.91839603e-08 -1.29285530e-07  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0.00000000e+00 0.00000000e+00 3.40835857e-07]],[[-4.67998100e-07 -2.54101054e-07  0.00000000e+00]],[[0.0000000e+00 0.0000000e+00 9.2103218e-06]],[[-4.77484375e-06 -7.38624865e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.95290592e-05]],[[-9.64721687e-06 -3.32140080e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 7.21294902e-05]],[[-5.14813233e-06 -6.20596173e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 7.57918601e-05]],[[ 5.14813233e-06 -6.53551972e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 4.71345288e-05]],[[ 9.64721687e-06 -3.98418950e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.34952601e-05]],[[ 4.77484375e-06 -1.09616245e-05  0.00000000e+00]],[[0.0000000e+00 0.0000000e+00 8.6768632e-07]],[[ 4.67998100e-07 -6.57436365e-07  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0.00000000e+00 0.00000000e+00 1.64792698e-06]],[[-1.70715062e-06 -1.25010252e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 2.53930469e-05]],[[-1.18545187e-05 -2.07367932e-05  0.00000000e+00]],[[0.0000000e+00 0.0000000e+00 8.7330951e-05]],[[-1.91635299e-05 -7.46514332e-05  0.00000000e+00]],[[0.         0.         0.00014285]],[[-8.98834348e-06 -1.25241616e-04  0.00000000e+00]],[[0.         0.         0.00014834]],[[ 8.98834348e-06 -1.30440407e-04  0.00000000e+00]],[[0.         0.         0.00010092]],[[ 1.91635299e-05 -8.68481374e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.55063522e-05]],[[ 1.18545187e-05 -2.92841710e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.41805456e-06]],[[ 1.70715062e-06 -2.64687935e-06  0.00000000e+00]],[[0. 0. 0.]],[[0. 0. 0.]]
[[0.00000000e+00 0.00000000e+00 6.24048694e-06]],[[-5.60427278e-06 -4.84204172e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 6.29169163e-05]],[[-2.58084686e-05 -5.22625208e-05  0.00000000e+00]],[[0.         0.         0.00017277]],[[-3.32833193e-05 -1.50659479e-04  0.00000000e+00]],[[0.         0.         0.00025059]],[[-1.46313396e-05 -2.25121114e-04  0.00000000e+00]],[[0.         0.         0.00025865]],[[ 1.46313396e-05 -2.32797498e-04  0.00000000e+00]],[[0.         0.         0.00019294]],[[ 3.32833193e-05 -1.69642537e-04  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 8.28501134e-05]],[[ 2.58084686e-05 -6.96077568e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 1.18075203e-05]],[[ 5.60427278e-06 -9.28721570e-06  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 7.68542029e-08]],[[ 5.38006868e-08 -5.38006868e-08  0.00000000e+00]]
[[0.00000000e+00 0.00000000e+00 2.05991705e-05]],[[-1.52495300e-05 -1.62529004e-05  0.00000000e+00]],[[0.         0.         0.00013794]],[[-4.94728673e-05 -1.16870860e-04  0.00000000e+00]],[[0.        0.        0.0002996]],[[-5.09786992e-05 -2.68226465e-04  0.00000000e+00]],[[0.         0.         0.00038104]],[[-1.75756448e-05 -3.53322737e-04  0.00000000e+00]],[[0.         0.         0.00038525]],[[ 1.75756448e-05 -3.59025611e-04  0.00000000e+00]],[[0.         0.         0.00032488]],[[ 5.09786992e-05 -2.93182038e-04  0.00000000e+00]],[[0.         0.         0.00017174]],[[ 4.94728673e-05 -1.47346616e-04  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.43774064e-05]],[[ 1.52495300e-05 -2.75999131e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 6.73963396e-07]],[[ 4.33894693e-07 -4.89233579e-07  0.00000000e+00]]
[[0.00000000e+00 0.00000000e+00 5.73306956e-05]],[[-3.66742876e-05 -4.61974677e-05  0.00000000e+00]],[[0.         0.         0.00026499]],[[-8.31499881e-05 -2.30014259e-04  0.00000000e+00]],[[0.         0.         0.00044418]],[[-5.95117427e-05 -4.11781997e-04  0.00000000e+00]],[[0.         0.         0.00046002]],[[-1.59122223e-05 -4.51777790e-04  0.00000000e+00]],[[0.         0.         0.00045764]],[[ 1.59122223e-05 -4.52023565e-04  0.00000000e+00]],[[0.         0.         0.00045637]],[[ 5.95117427e-05 -4.29074686e-04  0.00000000e+00]],[[0.        0.        0.0003131]],[[ 8.31499881e-05 -2.75239744e-04  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 8.79359307e-05]],[[ 3.66742876e-05 -7.19748018e-05  0.00000000e+00]],[[0.00000000e+00 0.00000000e+00 3.55175519e-06]],[[ 2.11240963e-06 -2.65523850e-06  0.00000000e+00]]
[[0.         0.         0.00013875]],[[-7.62801147e-05 -1.14202634e-04  0.00000000e+00]],[[0.      0.      0.00044]],[[-0.00011221 -0.00039332  0.        ]],[[0.         0.         0.00050571]],[[-4.12438678e-05 -5.01332186e-04  0.00000000e+00]],[[0.         0.         0.00033234]],[[ 3.12988211e-06 -3.86124336e-04  0.00000000e+00]],[[0.         0.         0.00030514]],[[-3.12988211e-06 -3.65645370e-04  0.00000000e+00]],[[0.         0.         0.00047961]],[[ 4.12438678e-05 -4.87919211e-04  0.00000000e+00]],[[0.         0.         0.00048152]],[[ 0.00011221 -0.00043864  0.        ]],[[0.         0.         0.00019533]],[[ 7.62801147e-05 -1.63406560e-04  0.00000000e+00]],[[0.0000000e+00 0.0000000e+00 1.4945583e-05]],[[ 8.44471940e-06 -1.13917375e-05  0.00000000e+00]]
[[0.        0.        0.0002901]],[[-0.00013349 -0.00024449  0.        ]],[[0.         0.         0.00058942]],[[-0.00010883 -0.000553    0.        ]],[[0.         0.         0.00028463]],[[ 4.12144361e-05 -3.63256201e-04  0.00000000e+00]],[[ 0.          0.         -0.00026982]],[[5.29677700e-05 8.74203976e-05 0.00000000e+00]],[[ 0.          0.         -0.00034101]],[[-5.29677700e-05  1.46707913e-04  0.00000000e+00]],[[0.         0.         0.00016684]],[[-4.12144361e-05 -2.71005261e-04  0.00000000e+00]],[[0.         0.         0.00058459]],[[ 0.00010883 -0.00056441  0.        ]],[[0.         0.         0.00037182]],[[ 0.00013349 -0.00031966  0.        ]],[[0.00000000e+00 0.00000000e+00 4.87705294e-05]],[[ 2.58237921e-05 -3.81024503e-05  0.00000000e+00]]
