detector (E),detector (H)
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0.00000000e+00 0.00000000e+00 4.56447945e-05],[ 2.83827862e-05 -3.49440716e-05  0.00000000e+00]
[0.0000000e+00 0.0000000e+00 2.1428735e-05],[ 1.38066234e-05 -1.60334912e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 8.10994774e-06],[ 5.42402302e-06 -5.90791381e-06  0.00000000e+00]
[0.0000000e+00 0.0000000e+00 2.0115607e-06],[ 1.36944004e-06 -1.43063660e-06  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 2.08976349e-07],[ 1.38928402e-07 -1.46290908e-07  0.00000000e+00]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
[0. 0. 0.],[0. 0. 0.]
