detector (E),detector (H)
[ 0.00000000e+00  0.00000000e+00 -8.40465402e-05],[-1.70498648e-05  1.92093251e-05  0.00000000e+00]
[ 0.          0.         -0.00010736],[-1.30156590e-05  3.01303244e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -6.60008266e-05],[2.41196903e-06 1.80254789e-06 0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -5.75936598e-05],[ 1.76895805e-06 -6.78073539e-06  0.00000000e+00]
[ 0.0000000e+00  0.0000000e+00 -1.0743924e-05],[ 1.32459858e-05 -2.90073718e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -7.28478177e-05],[-1.31874332e-05 -2.11187044e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -6.87856997e-05],[-3.83697990e-05 -1.80503684e-05  0.00000000e+00]
[ 0.0000000e+00  0.0000000e+00 -2.3845212e-05],[-1.67885061e-05 -4.73346897e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 4.04497653e-05],[ 4.17643269e-05 -7.62982828e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 5.70154935e-06],[-1.34152264e-05 -6.94071019e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 4.53371591e-05],[ 1.21666442e-05 -8.89257492e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 7.18744394e-06],[-4.34099186e-05 -7.01499179e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 9.10496989e-05],[ 2.89991620e-05 -1.03804819e-04  0.00000000e+00]
[0.0000000e+00 0.0000000e+00 7.1532433e-05],[ 2.18211221e-06 -8.64315840e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 9.57882263e-05],[ 1.74442780e-05 -9.06615085e-05  0.00000000e+00]
[0.         0.         0.00011281],[ 4.72512308e-06 -8.52246003e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 8.58621545e-05],[ 2.94449795e-05 -5.79669879e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 9.96129593e-05],[ 2.26942783e-06 -4.68250566e-05  0.00000000e+00]
[0.0000000e+00 0.0000000e+00 7.8248692e-05],[ 1.98202853e-05 -2.07577647e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 7.66023618e-05],[3.24329756e-05 1.27104022e-06 0.00000000e+00]
[0.00000000e+00 0.00000000e+00 1.50604288e-05],[-1.31079513e-05  3.55767836e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 5.44355949e-05],[4.77741500e-05 3.88811291e-05 0.00000000e+00]
