detector (E),detector (H)
[ 0.          0.         -0.00038529],[-5.09264209e-05  4.13997584e-04  0.00000000e+00]
[ 0.          0.         -0.00050951],[-0.00013319  0.00038163  0.        ]
[ 0.          0.         -0.00036232],[1.14987762e-06 2.11473961e-04 0.00000000e+00]
[ 0.          0.         -0.00026229],[-1.67785347e-04  3.02592297e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 5.51186726e-05],[-2.55639611e-05 -2.26162030e-04  0.00000000e+00]
[0.        0.        0.0002844],[ 4.19042060e-06 -4.20089238e-04  0.00000000e+00]
[0.         0.         0.00038211],[ 3.72600653e-05 -5.05467924e-04  0.00000000e+00]
[0.         0.         0.00061976],[ 0.00021024 -0.00056951  0.        ]
[0.         0.         0.00043311],[ 7.28109885e-05 -4.09347149e-04  0.00000000e+00]
[0.         0.         0.00049521],[ 0.00019842 -0.0002885   0.        ]
[0.         0.         0.00022292],[ 6.40333958e-05 -3.09450568e-05  0.00000000e+00]
[ 0.          0.         -0.00011695],[6.58879794e-05 2.86126676e-04 0.00000000e+00]
[ 0.          0.         -0.00022353],[-5.49647053e-06  3.70117833e-04  0.00000000e+00]
[ 0.          0.         -0.00054442],[-0.00019529  0.00051263  0.        ]
[ 0.         0.        -0.0002977],[-2.88293970e-05  3.01210524e-04  0.00000000e+00]
[ 0.          0.         -0.00027289],[-0.00018317  0.00010081  0.        ]
[0.00000000e+00 0.00000000e+00 3.41129239e-05],[ 2.05566227e-05 -1.47241706e-04  0.00000000e+00]
[0.         0.         0.00042527],[ 0.00010345 -0.00046312  0.        ]
[0.         0.         0.00033736],[ 6.51707882e-05 -3.82649808e-04  0.00000000e+00]
[0.         0.         0.00055056],[ 0.00029691 -0.00037967  0.        ]
[0.         0.         0.00013441],[-9.39798738e-06 -6.40764609e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -8.72399022e-05],[7.69763975e-05 2.06742673e-04 0.00000000e+00]
[ 0.          0.         -0.00021552],[-9.51377114e-05  2.48027469e-04  0.00000000e+00]
[ 0.          0.         -0.00029643],[-9.94026235e-05  2.23067470e-04  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 4.69427993e-06],[ 3.66001977e-06 -5.74541954e-05  0.00000000e+00]
[0.         0.         0.00014192],[ 5.78715375e-05 -1.63491287e-04  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 7.57372785e-05],[ 1.90310642e-05 -5.71315137e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -3.86528648e-06],[-1.21974124e-06  1.07624675e-05  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -2.67387688e-06],[0.00000000e+00 2.88368496e-06 0.00000000e+00]
